u,v,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
kennethlay,davidoxley,2.0147546552389106,0.5714285714285714,30,0.5395021645021645,4,2,5,6,34,32,0.3,0.6666666666666666,1
jamesderrick,raymondbowen,0.0,0.0,40,0.0,0,3,5,8,19,39,0.2,0.2857142857142857,1
jamesderrick,alanaronowitz,0.43429448190325176,0.1,30,0.1,1,2,5,6,19,142,0.2,0.4,1
chrisabel,davidbaumbach,0.0,0.0,1,0.0,0,6,1,1,4,8,0.0,0.0,1
geraldnemec,stuartzisman,0.0,0.0,4,0.0,0,3,4,1,22,1,0.0,0.0,1
geraldnemec,kaymann,0.7213475204444817,0.08333333333333333,40,0.25,1,2,4,10,22,38,0.0,0.07142857142857142,1
geraldnemec,info,0.0,0.0,12,0.0,0,4,4,3,22,10,0.0,0.0,1
geraldnemec,russelldiamond,0.0,0.0,4,0.0,0,5,4,1,22,5,0.0,0.0,1
geraldnemec,stephaniepanus,0.0,0.0,32,0.0,0,3,4,8,22,59,0.0,0.2857142857142857,1
geraldnemec,sarashackleton,0.0,0.0,60,0.0,0,3,4,15,22,101,0.0,0.3142857142857143,1
robmilnthorp,wescolwell,0.3001016285004131,0.16666666666666666,12,0.03571428571428571,1,2,3,4,14,7,1.0,0.5,1
rickbuy,markkoenig,0.43429448190325176,0.125,18,0.1,1,2,6,3,25,12,0.26666666666666666,0.0,1
rickbuy,juliearmstrong,0.0,0.0,48,0.0,0,3,6,8,25,16,0.26666666666666666,0.4642857142857143,1
rickbuy,janetdietrich,0.32351545314867247,0.1,30,0.045454545454545456,1,2,6,5,25,28,0.26666666666666666,0.7,1
rickbuy,louisekitchen,1.860043216574524,0.13333333333333333,168,0.47045454545454546,4,2,6,28,25,148,0.26666666666666666,0.11904761904761904,1
rickbuy,rosaleefleming,0.0,0.0,6,0.0,0,3,6,1,25,2,0.26666666666666666,0.0,1
rickbuy,arsystem,0.0,0.0,36,0.0,0,3,6,6,25,19,0.26666666666666666,0.13333333333333333,1
rickbuy,brittdavis,0.0,0.0,18,0.0,0,3,6,3,25,10,0.26666666666666666,0.3333333333333333,1
rickbuy,amyfitzpatrick,0.0,0.0,12,0.0,0,3,6,2,25,6,0.26666666666666666,1.0,1
amyfitzpatrick,sallybeck,0.7343961104036649,0.2222222222222222,18,0.13571428571428573,2,2,2,9,6,27,1.0,0.19444444444444445,1
